"Workout #";"Date";"Workout Name";"Duration (sec)";"Exercise Name";"Set Order";"Weight (kg)";"Reps";"RPE";"Distance (meters)";"Seconds";"Notes";"Workout Notes"
"1";"2025-12-01 17:52:29";"Afternoon Workout";"1134";"Bench Press (Dumbbell)";"1";"18.14368";"8";"";"";"";"";""
"1";"2025-12-01 17:52:29";"Afternoon Workout";"1134";"Bench Press (Dumbbell)";"2";"18.14368";"8";"";"";"";"";""
"1";"2025-12-01 17:52:29";"Afternoon Workout";"1134";"Bench Press (Dumbbell)";"3";"18.14368";"8";"";"";"";"";""
"1";"2025-12-01 17:52:29";"Afternoon Workout";"1134";"Triceps Extension";"1";"14.74174";"10";"";"";"";"";""
"1";"2025-12-01 17:52:29";"Afternoon Workout";"1134";"Triceps Extension";"Rest Timer";"";"";"";"";"120.0";"";""
"1";"2025-12-01 17:52:29";"Afternoon Workout";"1134";"Triceps Extension";"2";"14.74174";"10";"";"";"";"";""
"1";"2025-12-01 17:52:29";"Afternoon Workout";"1134";"Triceps Extension";"Rest Timer";"";"";"";"";"120.0";"";""
"1";"2025-12-01 17:52:29";"Afternoon Workout";"1134";"Triceps Extension";"3";"14.74174";"10";"";"";"";"";""
"1";"2025-12-01 17:52:29";"Afternoon Workout";"1134";"Triceps Extension";"Rest Timer";"";"";"";"";"120.0";"";""
"1";"2025-12-01 17:52:29";"Afternoon Workout";"1134";"Lat Pulldown (Cable)";"1";"47.627159999999996";"10";"";"";"";"";""
"1";"2025-12-01 17:52:29";"Afternoon Workout";"1134";"Lat Pulldown (Cable)";"Rest Timer";"";"";"";"";"120.0";"";""
"1";"2025-12-01 17:52:29";"Afternoon Workout";"1134";"Lat Pulldown (Cable)";"2";"47.627159999999996";"10";"";"";"";"";""
"1";"2025-12-01 17:52:29";"Afternoon Workout";"1134";"Lat Pulldown (Cable)";"Rest Timer";"";"";"";"";"120.0";"";""
"1";"2025-12-01 17:52:29";"Afternoon Workout";"1134";"Lat Pulldown (Cable)";"3";"47.627159999999996";"8";"";"";"";"";""
"1";"2025-12-01 17:52:29";"Afternoon Workout";"1134";"Lat Pulldown (Cable)";"Rest Timer";"";"";"";"";"120.0";"";""
"1";"2025-12-01 17:52:29";"Afternoon Workout";"1134";"Lateral Raise (Dumbbell)";"1";"4.53592";"8";"";"";"";"";""
"1";"2025-12-01 17:52:29";"Afternoon Workout";"1134";"Lateral Raise (Dumbbell)";"Rest Timer";"";"";"";"";"120.0";"";""
"1";"2025-12-01 17:52:29";"Afternoon Workout";"1134";"Lateral Raise (Dumbbell)";"2";"4.53592";"8";"";"";"";"";""
"1";"2025-12-01 17:52:29";"Afternoon Workout";"1134";"Lateral Raise (Dumbbell)";"Rest Timer";"";"";"";"";"120.0";"";""
"1";"2025-12-01 17:52:29";"Afternoon Workout";"1134";"Bicep Curl (Dumbbell)";"1";"11.3398";"8";"";"";"";"";""
"1";"2025-12-01 17:52:29";"Afternoon Workout";"1134";"Bicep Curl (Dumbbell)";"Rest Timer";"";"";"";"";"120.0";"";""
"1";"2025-12-01 17:52:29";"Afternoon Workout";"1134";"Bicep Curl (Dumbbell)";"2";"11.3398";"8";"";"";"";"";""
"1";"2025-12-01 17:52:29";"Afternoon Workout";"1134";"Bicep Curl (Dumbbell)";"Rest Timer";"";"";"";"";"120.0";"";""
"1";"2025-12-01 17:52:29";"Afternoon Workout";"1134";"Bicep Curl (Dumbbell)";"3";"11.3398";"8";"";"";"";"";""
"1";"2025-12-01 17:52:29";"Afternoon Workout";"1134";"Bicep Curl (Dumbbell)";"Rest Timer";"";"";"";"";"120.0";"";""
"1";"2025-12-01 17:52:29";"Afternoon Workout";"1134";"Running (Treadmill)";"1";"";"";"";"6035.04";"1901.0";"";""
"1";"2025-12-01 17:52:29";"Afternoon Workout";"1134";"Running (Treadmill)";"Rest Timer";"";"";"";"";"120.0";"";""
"2";"2025-12-02 17:02:50";"Legs 1";"2418";"Goblet Squat (Kettlebell)";"1";"22.6796";"8";"";"";"";"";""
"2";"2025-12-02 17:02:50";"Legs 1";"2418";"Goblet Squat (Kettlebell)";"Rest Timer";"";"";"";"";"120.0";"";""
"2";"2025-12-02 17:02:50";"Legs 1";"2418";"Goblet Squat (Kettlebell)";"2";"22.6796";"8";"";"";"";"";""
"2";"2025-12-02 17:02:50";"Legs 1";"2418";"Goblet Squat (Kettlebell)";"Rest Timer";"";"";"";"";"120.0";"";""
"2";"2025-12-02 17:02:50";"Legs 1";"2418";"Goblet Squat (Kettlebell)";"3";"22.6796";"8";"";"";"";"";""
"2";"2025-12-02 17:02:50";"Legs 1";"2418";"Goblet Squat (Kettlebell)";"Rest Timer";"";"";"";"";"120.0";"";""
"2";"2025-12-02 17:02:50";"Legs 1";"2418";"Seated Leg Press (Machine)";"1";"83.91452";"6";"";"";"";"";""
"2";"2025-12-02 17:02:50";"Legs 1";"2418";"Seated Leg Press (Machine)";"Rest Timer";"";"";"";"";"120.0";"";""
"2";"2025-12-02 17:02:50";"Legs 1";"2418";"Seated Leg Press (Machine)";"2";"83.91452";"6";"";"";"";"";""
"2";"2025-12-02 17:02:50";"Legs 1";"2418";"Seated Leg Press (Machine)";"Rest Timer";"";"";"";"";"120.0";"";""
"2";"2025-12-02 17:02:50";"Legs 1";"2418";"Seated Leg Press (Machine)";"3";"77.11064";"6";"";"";"";"";""
"2";"2025-12-02 17:02:50";"Legs 1";"2418";"Seated Leg Press (Machine)";"Rest Timer";"";"";"";"";"120.0";"";""
"2";"2025-12-02 17:02:50";"Legs 1";"2418";"Lying Leg Curl (Machine)";"1";"27.215519999999998";"8";"";"";"";"";""
"2";"2025-12-02 17:02:50";"Legs 1";"2418";"Lying Leg Curl (Machine)";"Rest Timer";"";"";"";"";"120.0";"";""
"2";"2025-12-02 17:02:50";"Legs 1";"2418";"Lying Leg Curl (Machine)";"2";"27.215519999999998";"8";"";"";"";"";""
"2";"2025-12-02 17:02:50";"Legs 1";"2418";"Lying Leg Curl (Machine)";"Rest Timer";"";"";"";"";"120.0";"";""
"2";"2025-12-02 17:02:50";"Legs 1";"2418";"Lying Leg Curl (Machine)";"3";"27.215519999999998";"8";"";"";"";"";""
"2";"2025-12-02 17:02:50";"Legs 1";"2418";"Lying Leg Curl (Machine)";"Rest Timer";"";"";"";"";"120.0";"";""
"2";"2025-12-02 17:02:50";"Legs 1";"2418";"Leg Extension (Machine)";"1";"34.0194";"8";"";"";"";"";""
"2";"2025-12-02 17:02:50";"Legs 1";"2418";"Leg Extension (Machine)";"Rest Timer";"";"";"";"";"120.0";"";""
"2";"2025-12-02 17:02:50";"Legs 1";"2418";"Leg Extension (Machine)";"2";"34.0194";"8";"";"";"";"";""
"2";"2025-12-02 17:02:50";"Legs 1";"2418";"Leg Extension (Machine)";"Rest Timer";"";"";"";"";"120.0";"";""
"2";"2025-12-02 17:02:50";"Legs 1";"2418";"Leg Extension (Machine)";"3";"34.0194";"8";"";"";"";"";""
"2";"2025-12-02 17:02:50";"Legs 1";"2418";"Leg Extension (Machine)";"Rest Timer";"";"";"";"";"120.0";"";""
"2";"2025-12-02 17:02:50";"Legs 1";"2418";"Calf Press on Seated Leg Press";"1";"36.28736";"20";"";"";"";"";""
"2";"2025-12-02 17:02:50";"Legs 1";"2418";"Calf Press on Seated Leg Press";"Rest Timer";"";"";"";"";"120.0";"";""
"2";"2025-12-02 17:02:50";"Legs 1";"2418";"Calf Press on Seated Leg Press";"2";"43.09124";"15";"";"";"";"";""
"2";"2025-12-02 17:02:50";"Legs 1";"2418";"Calf Press on Seated Leg Press";"Rest Timer";"";"";"";"";"120.0";"";""
"2";"2025-12-02 17:02:50";"Legs 1";"2418";"Calf Press on Seated Leg Press";"3";"49.89512";"20";"";"";"";"";""
"2";"2025-12-02 17:02:50";"Legs 1";"2418";"Calf Press on Seated Leg Press";"Rest Timer";"";"";"";"";"120.0";"";""
"2";"2025-12-02 17:02:50";"Legs 1";"2418";"Bulgarian Split Squat";"1";"20.41164";"8";"";"";"";"";""
"2";"2025-12-02 17:02:50";"Legs 1";"2418";"Bulgarian Split Squat";"Rest Timer";"";"";"";"";"120.0";"";""
"2";"2025-12-02 17:02:50";"Legs 1";"2418";"Bulgarian Split Squat";"2";"20.41164";"8";"";"";"";"";""
"2";"2025-12-02 17:02:50";"Legs 1";"2418";"Bulgarian Split Squat";"Rest Timer";"";"";"";"";"120.0";"";""
"2";"2025-12-02 17:02:50";"Legs 1";"2418";"Bulgarian Split Squat";"3";"20.41164";"8";"";"";"";"";""
"2";"2025-12-02 17:02:50";"Legs 1";"2418";"Bulgarian Split Squat";"Rest Timer";"";"";"";"";"120.0";"";""
"2";"2025-12-02 17:02:50";"Legs 1";"2418";"Deadlift (Smith Machine)";"1";"61.23492";"8";"";"";"";"";""
"2";"2025-12-02 17:02:50";"Legs 1";"2418";"Deadlift (Smith Machine)";"Rest Timer";"";"";"";"";"120.0";"";""
"2";"2025-12-02 17:02:50";"Legs 1";"2418";"Deadlift (Smith Machine)";"2";"61.23492";"8";"";"";"";"";""
"2";"2025-12-02 17:02:50";"Legs 1";"2418";"Deadlift (Smith Machine)";"Rest Timer";"";"";"";"";"120.0";"";""
"2";"2025-12-02 17:02:50";"Legs 1";"2418";"Deadlift (Smith Machine)";"3";"61.23492";"8";"";"";"";"";""
"2";"2025-12-02 17:02:50";"Legs 1";"2418";"Deadlift (Smith Machine)";"Rest Timer";"";"";"";"";"120.0";"";""
"3";"2025-12-08 19:15:12";"Legs 1";"3213";"Seated Leg Press (Machine)";"1";"83.91452";"8";"";"";"";"";""
"3";"2025-12-08 19:15:12";"Legs 1";"3213";"Seated Leg Press (Machine)";"Rest Timer";"";"";"";"";"120.0";"";""
"3";"2025-12-08 19:15:12";"Legs 1";"3213";"Seated Leg Press (Machine)";"2";"83.91452";"8";"";"";"";"";""
"3";"2025-12-08 19:15:12";"Legs 1";"3213";"Seated Leg Press (Machine)";"Rest Timer";"";"";"";"";"120.0";"";""
"3";"2025-12-08 19:15:12";"Legs 1";"3213";"Seated Leg Press (Machine)";"3";"90.7184";"8";"";"";"";"";""
"3";"2025-12-08 19:15:12";"Legs 1";"3213";"Seated Leg Press (Machine)";"Rest Timer";"";"";"";"";"120.0";"";""
"3";"2025-12-08 19:15:12";"Legs 1";"3213";"Lying Leg Curl (Machine)";"1";"34.0194";"8";"";"";"";"";""
"3";"2025-12-08 19:15:12";"Legs 1";"3213";"Lying Leg Curl (Machine)";"Rest Timer";"";"";"";"";"120.0";"";""
"3";"2025-12-08 19:15:12";"Legs 1";"3213";"Lying Leg Curl (Machine)";"2";"40.82328";"8";"";"";"";"";""
"3";"2025-12-08 19:15:12";"Legs 1";"3213";"Lying Leg Curl (Machine)";"Rest Timer";"";"";"";"";"120.0";"";""
"3";"2025-12-08 19:15:12";"Legs 1";"3213";"Lying Leg Curl (Machine)";"3";"40.82328";"8";"";"";"";"";""
"3";"2025-12-08 19:15:12";"Legs 1";"3213";"Lying Leg Curl (Machine)";"Rest Timer";"";"";"";"";"120.0";"";""
"3";"2025-12-08 19:15:12";"Legs 1";"3213";"Leg Extension (Machine)";"1";"34.0194";"8";"";"";"";"";""
"3";"2025-12-08 19:15:12";"Legs 1";"3213";"Leg Extension (Machine)";"Rest Timer";"";"";"";"";"120.0";"";""
"3";"2025-12-08 19:15:12";"Legs 1";"3213";"Leg Extension (Machine)";"2";"40.82328";"8";"";"";"";"";""
"3";"2025-12-08 19:15:12";"Legs 1";"3213";"Leg Extension (Machine)";"Rest Timer";"";"";"";"";"120.0";"";""
"3";"2025-12-08 19:15:12";"Legs 1";"3213";"Leg Extension (Machine)";"3";"47.627159999999996";"10";"";"";"";"";""
"3";"2025-12-08 19:15:12";"Legs 1";"3213";"Leg Extension (Machine)";"Rest Timer";"";"";"";"";"120.0";"";""
"3";"2025-12-08 19:15:12";"Legs 1";"3213";"Calf Press on Seated Leg Press";"1";"49.89512";"20";"";"";"";"";""
"3";"2025-12-08 19:15:12";"Legs 1";"3213";"Calf Press on Seated Leg Press";"Rest Timer";"";"";"";"";"120.0";"";""
"3";"2025-12-08 19:15:12";"Legs 1";"3213";"Calf Press on Seated Leg Press";"2";"56.699";"20";"";"";"";"";""
"3";"2025-12-08 19:15:12";"Legs 1";"3213";"Calf Press on Seated Leg Press";"Rest Timer";"";"";"";"";"120.0";"";""
"3";"2025-12-08 19:15:12";"Legs 1";"3213";"Calf Press on Seated Leg Press";"3";"56.699";"20";"";"";"";"";""
"3";"2025-12-08 19:15:12";"Legs 1";"3213";"Calf Press on Seated Leg Press";"Rest Timer";"";"";"";"";"120.0";"";""
"3";"2025-12-08 19:15:12";"Legs 1";"3213";"Bulgarian Split Squat";"1";"20.41164";"8";"";"";"";"";""
"3";"2025-12-08 19:15:12";"Legs 1";"3213";"Bulgarian Split Squat";"Rest Timer";"";"";"";"";"120.0";"";""
"3";"2025-12-08 19:15:12";"Legs 1";"3213";"Bulgarian Split Squat";"2";"20.41164";"8";"";"";"";"";""
"3";"2025-12-08 19:15:12";"Legs 1";"3213";"Bulgarian Split Squat";"Rest Timer";"";"";"";"";"120.0";"";""
"3";"2025-12-08 19:15:12";"Legs 1";"3213";"Bulgarian Split Squat";"3";"20.41164";"8";"";"";"";"";""
"3";"2025-12-08 19:15:12";"Legs 1";"3213";"Bulgarian Split Squat";"Rest Timer";"";"";"";"";"120.0";"";""
"3";"2025-12-08 19:15:12";"Legs 1";"3213";"Romanian Deadlift (Dumbbell)";"1";"15.87572";"8";"";"";"";"";""
"3";"2025-12-08 19:15:12";"Legs 1";"3213";"Romanian Deadlift (Dumbbell)";"Rest Timer";"";"";"";"";"120.0";"";""
"3";"2025-12-08 19:15:12";"Legs 1";"3213";"Romanian Deadlift (Dumbbell)";"2";"18.14368";"8";"";"";"";"";""
"3";"2025-12-08 19:15:12";"Legs 1";"3213";"Romanian Deadlift (Dumbbell)";"Rest Timer";"";"";"";"";"120.0";"";""
"3";"2025-12-08 19:15:12";"Legs 1";"3213";"Romanian Deadlift (Dumbbell)";"3";"20.41164";"8";"";"";"";"";""
"3";"2025-12-08 19:15:12";"Legs 1";"3213";"Romanian Deadlift (Dumbbell)";"Rest Timer";"";"";"";"";"120.0";"";""
"4";"2025-12-10 21:20:28";"Evening Workout";"1750";"Bench Press (Dumbbell)";"1";"18.14368";"8";"";"";"";"";""
"4";"2025-12-10 21:20:28";"Evening Workout";"1750";"Bench Press (Dumbbell)";"Rest Timer";"";"";"";"";"120.0";"";""
"4";"2025-12-10 21:20:28";"Evening Workout";"1750";"Bench Press (Dumbbell)";"2";"20.41164";"8";"";"";"";"";""
"4";"2025-12-10 21:20:28";"Evening Workout";"1750";"Bench Press (Dumbbell)";"Rest Timer";"";"";"";"";"120.0";"";""
"4";"2025-12-10 21:20:28";"Evening Workout";"1750";"Bench Press (Dumbbell)";"3";"20.41164";"8";"";"";"";"";""
"4";"2025-12-10 21:20:28";"Evening Workout";"1750";"Bench Press (Dumbbell)";"Rest Timer";"";"";"";"";"120.0";"";""
"4";"2025-12-10 21:20:28";"Evening Workout";"1750";"Seated Row (Cable)";"1";"34.0194";"8";"";"";"";"";""
"4";"2025-12-10 21:20:28";"Evening Workout";"1750";"Seated Row (Cable)";"Rest Timer";"";"";"";"";"120.0";"";""
"4";"2025-12-10 21:20:28";"Evening Workout";"1750";"Seated Row (Cable)";"2";"34.0194";"8";"";"";"";"";""
"4";"2025-12-10 21:20:28";"Evening Workout";"1750";"Seated Row (Cable)";"Rest Timer";"";"";"";"";"120.0";"";""
"4";"2025-12-10 21:20:28";"Evening Workout";"1750";"Seated Row (Cable)";"3";"34.0194";"8";"";"";"";"";""
"4";"2025-12-10 21:20:28";"Evening Workout";"1750";"Seated Row (Cable)";"Rest Timer";"";"";"";"";"120.0";"";""
"4";"2025-12-10 21:20:28";"Evening Workout";"1750";"Triceps Extension";"1";"17.0097";"10";"";"";"";"";""
"4";"2025-12-10 21:20:28";"Evening Workout";"1750";"Triceps Extension";"Rest Timer";"";"";"";"";"120.0";"";""
"4";"2025-12-10 21:20:28";"Evening Workout";"1750";"Triceps Extension";"2";"17.0097";"10";"";"";"";"";""
"4";"2025-12-10 21:20:28";"Evening Workout";"1750";"Triceps Extension";"Rest Timer";"";"";"";"";"120.0";"";""
"4";"2025-12-10 21:20:28";"Evening Workout";"1750";"Triceps Extension";"3";"17.0097";"10";"";"";"";"";""
"4";"2025-12-10 21:20:28";"Evening Workout";"1750";"Triceps Extension";"Rest Timer";"";"";"";"";"120.0";"";""
"4";"2025-12-10 21:20:28";"Evening Workout";"1750";"Lat Pulldown (Cable)";"1";"47.627159999999996";"8";"";"";"";"";""
"4";"2025-12-10 21:20:28";"Evening Workout";"1750";"Lat Pulldown (Cable)";"Rest Timer";"";"";"";"";"120.0";"";""
"4";"2025-12-10 21:20:28";"Evening Workout";"1750";"Lat Pulldown (Cable)";"2";"54.431039999999996";"8";"";"";"";"";""
"4";"2025-12-10 21:20:28";"Evening Workout";"1750";"Lat Pulldown (Cable)";"Rest Timer";"";"";"";"";"120.0";"";""
"4";"2025-12-10 21:20:28";"Evening Workout";"1750";"Lat Pulldown (Cable)";"3";"54.431039999999996";"8";"";"";"";"";""
"4";"2025-12-10 21:20:28";"Evening Workout";"1750";"Lat Pulldown (Cable)";"Rest Timer";"";"";"";"";"120.0";"";""
"4";"2025-12-10 21:20:28";"Evening Workout";"1750";"Seated Overhead Press (Dumbbell)";"1";"11.3398";"8";"";"";"";"";""
"4";"2025-12-10 21:20:28";"Evening Workout";"1750";"Seated Overhead Press (Dumbbell)";"Rest Timer";"";"";"";"";"120.0";"";""
"4";"2025-12-10 21:20:28";"Evening Workout";"1750";"Seated Overhead Press (Dumbbell)";"2";"11.3398";"8";"";"";"";"";""
"4";"2025-12-10 21:20:28";"Evening Workout";"1750";"Seated Overhead Press (Dumbbell)";"Rest Timer";"";"";"";"";"120.0";"";""
"4";"2025-12-10 21:20:28";"Evening Workout";"1750";"Seated Overhead Press (Dumbbell)";"3";"11.3398";"8";"";"";"";"";""
"4";"2025-12-10 21:20:28";"Evening Workout";"1750";"Seated Overhead Press (Dumbbell)";"Rest Timer";"";"";"";"";"120.0";"";""
"4";"2025-12-10 21:20:28";"Evening Workout";"1750";"Bicep Curl (Dumbbell)";"1";"13.607759999999999";"8";"";"";"";"";""
"4";"2025-12-10 21:20:28";"Evening Workout";"1750";"Bicep Curl (Dumbbell)";"Rest Timer";"";"";"";"";"120.0";"";""
"4";"2025-12-10 21:20:28";"Evening Workout";"1750";"Bicep Curl (Dumbbell)";"2";"13.607759999999999";"8";"";"";"";"";""
"4";"2025-12-10 21:20:28";"Evening Workout";"1750";"Bicep Curl (Dumbbell)";"Rest Timer";"";"";"";"";"120.0";"";""
"4";"2025-12-10 21:20:28";"Evening Workout";"1750";"Bicep Curl (Dumbbell)";"3";"13.607759999999999";"8";"";"";"";"";""
"4";"2025-12-10 21:20:28";"Evening Workout";"1750";"Bicep Curl (Dumbbell)";"Rest Timer";"";"";"";"";"120.0";"";""
"5";"2025-12-15 19:38:42";"Evening Workout";"945";"Bench Press (Dumbbell)";"1";"22.6796";"8";"";"";"";"";""
"5";"2025-12-15 19:38:42";"Evening Workout";"945";"Bench Press (Dumbbell)";"Rest Timer";"";"";"";"";"120.0";"";""
"5";"2025-12-15 19:38:42";"Evening Workout";"945";"Bench Press (Dumbbell)";"2";"22.6796";"9";"";"";"";"";""
"5";"2025-12-15 19:38:42";"Evening Workout";"945";"Bench Press (Dumbbell)";"Rest Timer";"";"";"";"";"120.0";"";""
"5";"2025-12-15 19:38:42";"Evening Workout";"945";"Bench Press (Dumbbell)";"3";"22.6796";"8";"";"";"";"";""
"5";"2025-12-15 19:38:42";"Evening Workout";"945";"Bench Press (Dumbbell)";"Rest Timer";"";"";"";"";"120.0";"";""
"5";"2025-12-15 19:38:42";"Evening Workout";"945";"Bicep Curl (Cable)";"1";"17.0097";"8";"";"";"";"";""
"5";"2025-12-15 19:38:42";"Evening Workout";"945";"Bicep Curl (Cable)";"Rest Timer";"";"";"";"";"120.0";"";""
"5";"2025-12-15 19:38:42";"Evening Workout";"945";"Bicep Curl (Cable)";"2";"19.27766";"8";"";"";"";"";""
"5";"2025-12-15 19:38:42";"Evening Workout";"945";"Bicep Curl (Cable)";"Rest Timer";"";"";"";"";"120.0";"";""
"5";"2025-12-15 19:38:42";"Evening Workout";"945";"Bicep Curl (Cable)";"3";"19.27766";"8";"";"";"";"";""
"5";"2025-12-15 19:38:42";"Evening Workout";"945";"Bicep Curl (Cable)";"Rest Timer";"";"";"";"";"120.0";"";""
"6";"2025-12-16 19:26:32";"Legs 1";"2534";"Seated Leg Press (Machine)";"1";"90.7184";"8";"";"";"";"";""
"6";"2025-12-16 19:26:32";"Legs 1";"2534";"Seated Leg Press (Machine)";"Rest Timer";"";"";"";"";"120.0";"";""
"6";"2025-12-16 19:26:32";"Legs 1";"2534";"Seated Leg Press (Machine)";"2";"90.7184";"8";"";"";"";"";""
"6";"2025-12-16 19:26:32";"Legs 1";"2534";"Seated Leg Press (Machine)";"Rest Timer";"";"";"";"";"120.0";"";""
"6";"2025-12-16 19:26:32";"Legs 1";"2534";"Seated Leg Press (Machine)";"3";"90.7184";"8";"";"";"";"";""
"6";"2025-12-16 19:26:32";"Legs 1";"2534";"Seated Leg Press (Machine)";"Rest Timer";"";"";"";"";"120.0";"";""
"6";"2025-12-16 19:26:32";"Legs 1";"2534";"Lying Leg Curl (Machine)";"1";"40.82328";"8";"";"";"";"";""
"6";"2025-12-16 19:26:32";"Legs 1";"2534";"Lying Leg Curl (Machine)";"Rest Timer";"";"";"";"";"120.0";"";""
"6";"2025-12-16 19:26:32";"Legs 1";"2534";"Lying Leg Curl (Machine)";"2";"34.0194";"8";"";"";"";"";""
"6";"2025-12-16 19:26:32";"Legs 1";"2534";"Lying Leg Curl (Machine)";"Rest Timer";"";"";"";"";"120.0";"";""
"6";"2025-12-16 19:26:32";"Legs 1";"2534";"Lying Leg Curl (Machine)";"3";"34.0194";"8";"";"";"";"";""
"6";"2025-12-16 19:26:32";"Legs 1";"2534";"Lying Leg Curl (Machine)";"Rest Timer";"";"";"";"";"120.0";"";""
"6";"2025-12-16 19:26:32";"Legs 1";"2534";"Leg Extension (Machine)";"1";"47.627159999999996";"8";"";"";"";"";""
"6";"2025-12-16 19:26:32";"Legs 1";"2534";"Leg Extension (Machine)";"Rest Timer";"";"";"";"";"120.0";"";""
"6";"2025-12-16 19:26:32";"Legs 1";"2534";"Leg Extension (Machine)";"2";"47.627159999999996";"8";"";"";"";"";""
"6";"2025-12-16 19:26:32";"Legs 1";"2534";"Leg Extension (Machine)";"Rest Timer";"";"";"";"";"120.0";"";""
"6";"2025-12-16 19:26:32";"Legs 1";"2534";"Leg Extension (Machine)";"3";"54.431039999999996";"8";"";"";"";"";""
"6";"2025-12-16 19:26:32";"Legs 1";"2534";"Leg Extension (Machine)";"Rest Timer";"";"";"";"";"120.0";"";""
"6";"2025-12-16 19:26:32";"Legs 1";"2534";"Bulgarian Split Squat";"1";"20.41164";"8";"";"";"";"";""
"6";"2025-12-16 19:26:32";"Legs 1";"2534";"Bulgarian Split Squat";"Rest Timer";"";"";"";"";"120.0";"";""
"6";"2025-12-16 19:26:32";"Legs 1";"2534";"Bulgarian Split Squat";"2";"20.41164";"8";"";"";"";"";""
"6";"2025-12-16 19:26:32";"Legs 1";"2534";"Bulgarian Split Squat";"Rest Timer";"";"";"";"";"120.0";"";""
"6";"2025-12-16 19:26:32";"Legs 1";"2534";"Bulgarian Split Squat";"3";"20.41164";"8";"";"";"";"";""
"6";"2025-12-16 19:26:32";"Legs 1";"2534";"Bulgarian Split Squat";"Rest Timer";"";"";"";"";"120.0";"";""
"6";"2025-12-16 19:26:32";"Legs 1";"2534";"Romanian Deadlift (Dumbbell)";"1";"20.41164";"8";"";"";"";"";""
"6";"2025-12-16 19:26:32";"Legs 1";"2534";"Romanian Deadlift (Dumbbell)";"Rest Timer";"";"";"";"";"120.0";"";""
"6";"2025-12-16 19:26:32";"Legs 1";"2534";"Romanian Deadlift (Dumbbell)";"2";"20.41164";"8";"";"";"";"";""
"6";"2025-12-16 19:26:32";"Legs 1";"2534";"Romanian Deadlift (Dumbbell)";"Rest Timer";"";"";"";"";"120.0";"";""
"6";"2025-12-16 19:26:32";"Legs 1";"2534";"Romanian Deadlift (Dumbbell)";"3";"20.41164";"8";"";"";"";"";""
"6";"2025-12-16 19:26:32";"Legs 1";"2534";"Romanian Deadlift (Dumbbell)";"Rest Timer";"";"";"";"";"120.0";"";""
"6";"2025-12-16 19:26:32";"Legs 1";"2534";"Calf Press on Seated Leg Press";"1";"56.699";"20";"";"";"";"";""
"6";"2025-12-16 19:26:32";"Legs 1";"2534";"Calf Press on Seated Leg Press";"Rest Timer";"";"";"";"";"120.0";"";""
"6";"2025-12-16 19:26:32";"Legs 1";"2534";"Calf Press on Seated Leg Press";"2";"56.699";"20";"";"";"";"";""
"6";"2025-12-16 19:26:32";"Legs 1";"2534";"Calf Press on Seated Leg Press";"Rest Timer";"";"";"";"";"120.0";"";""
"6";"2025-12-16 19:26:32";"Legs 1";"2534";"Calf Press on Seated Leg Press";"3";"56.699";"20";"";"";"";"";""
"6";"2025-12-16 19:26:32";"Legs 1";"2534";"Calf Press on Seated Leg Press";"Rest Timer";"";"";"";"";"120.0";"";""
"7";"2025-12-21 19:05:52";"Legs 1";"2798";"Bulgarian Split Squat";"1";"20.41164";"8";"";"";"";"";""
"7";"2025-12-21 19:05:52";"Legs 1";"2798";"Bulgarian Split Squat";"Rest Timer";"";"";"";"";"120.0";"";""
"7";"2025-12-21 19:05:52";"Legs 1";"2798";"Bulgarian Split Squat";"2";"20.41164";"8";"";"";"";"";""
"7";"2025-12-21 19:05:52";"Legs 1";"2798";"Bulgarian Split Squat";"Rest Timer";"";"";"";"";"120.0";"";""
"7";"2025-12-21 19:05:52";"Legs 1";"2798";"Bulgarian Split Squat";"3";"22.6796";"8";"";"";"";"";""
"7";"2025-12-21 19:05:52";"Legs 1";"2798";"Bulgarian Split Squat";"Rest Timer";"";"";"";"";"120.0";"";""
"7";"2025-12-21 19:05:52";"Legs 1";"2798";"Calf Press on Seated Leg Press";"1";"56.699";"20";"";"";"";"";""
"7";"2025-12-21 19:05:52";"Legs 1";"2798";"Calf Press on Seated Leg Press";"Rest Timer";"";"";"";"";"120.0";"";""
"7";"2025-12-21 19:05:52";"Legs 1";"2798";"Calf Press on Seated Leg Press";"2";"56.699";"20";"";"";"";"";""
"7";"2025-12-21 19:05:52";"Legs 1";"2798";"Calf Press on Seated Leg Press";"Rest Timer";"";"";"";"";"120.0";"";""
"7";"2025-12-21 19:05:52";"Legs 1";"2798";"Calf Press on Seated Leg Press";"3";"63.50288";"20";"";"";"";"";""
"7";"2025-12-21 19:05:52";"Legs 1";"2798";"Calf Press on Seated Leg Press";"Rest Timer";"";"";"";"";"120.0";"";""
"7";"2025-12-21 19:05:52";"Legs 1";"2798";"Seated Leg Press (Machine)";"1";"90.7184";"8";"";"";"";"";""
"7";"2025-12-21 19:05:52";"Legs 1";"2798";"Seated Leg Press (Machine)";"Rest Timer";"";"";"";"";"120.0";"";""
"7";"2025-12-21 19:05:52";"Legs 1";"2798";"Seated Leg Press (Machine)";"2";"90.7184";"8";"";"";"";"";""
"7";"2025-12-21 19:05:52";"Legs 1";"2798";"Seated Leg Press (Machine)";"Rest Timer";"";"";"";"";"120.0";"";""
"7";"2025-12-21 19:05:52";"Legs 1";"2798";"Seated Leg Press (Machine)";"3";"97.52228";"8";"";"";"";"";""
"7";"2025-12-21 19:05:52";"Legs 1";"2798";"Seated Leg Press (Machine)";"Rest Timer";"";"";"";"";"120.0";"";""
